ID,시간,점수
000000001,2026-06-29 15:48:32,3
000000001,2026-06-29 15:59:39,6
000000001,2026-06-29 16:00:31,12
000000001,2026-06-29 16:08:01,1
000000001,2026-06-29 16:08:47,4
000000001,2026-06-29 16:10:05,9
000000001,2026-06-29 16:11:38,4
000000001,2026-06-29 16:20:48,0
000000001,2026-06-29 16:21:30,10
000000001,2026-06-29 16:22:13,2
000000001,2026-06-29 16:22:56,1
000000001,2026-06-29 16:23:40,5
000000001,2026-06-29 16:24:29,7
000000001,2026-06-29 16:27:41,12
000000001,2026-06-29 16:31:45,6
000000001,2026-06-29 16:42:54,11
000000001,2026-06-29 16:43:38,3
000000001,2026-06-29 16:44:20,5
000000001,2026-06-29 16:45:39,9
000000001,2026-06-29 16:48:39,7
000000001,2026-06-29 16:49:31,1
000000001,2026-06-29 16:50:23,8
000000001,2026-06-29 16:51:08,10
000000001,2026-06-29 18:13:09,10
000000001,2026-06-29 18:14:22,15
000000001,2026-06-29 18:25:25,14
000000001,2026-06-29 18:38:00,1
000000001,2026-06-29 21:00:41,11
